Designator,Mid X,Mid Y,Rotation,Layer
R218,219.326,143.673,90,top
R219,219.326,140.371,90,top
R220,222.024,211.742,90,top
R221,222.024,208.44,90,top
R222,263.138,149.382,0,top
R223,234.474,167.39,0,top
R224,234.474,165.104,180,top
R225,239.3,162.056,90,top
R226,234.466,151.366,0,top
R227,234.466,149.08,180,top
R228,239.292,145.778,90,top
R229,208.5875,201.3805,0,top
R230,208.5875,199.0945,180,top
R231,266.948,151.668,0,top
R232,270.758,149.382,0,top
R233,234.466,141.714,0,top
R234,208.634,191.9275,0,top
R235,234.474,157.992,0,top
R236,208.571,194.9755,0,top
R237,234.474,161.04,0,top
R238,234.466,144.762,0,top
R239,274.158,145.572,90,top
R240,274.158,142.27,90,top
R241,214.072,192.34,90,top
R242,240.125,158.246,90,top
R243,240.054,141.968,90,top
R244,283.21,146.588,90,top
R245,217.952,198.182,180,top
R246,243.872,164.342,180,top
R247,243.864,148.064,180,top
R248,208.998,175.713,90,top
R249,263.998,161.694,90,top
R250,207.84,180.624,0,top
R251,263.236,166.774,0,top
R252,229.11,197.687,90,top
R253,255,164.025,90,top
R254,255.5,146.4,90,top
R255,211.65,182.91,0,top
R256,267.046,169.06,0,top
R257,215.46,180.878,180,top
R258,270.856,166.774,180,top
R259,218.65,176.983,90,top
R260,218.65,173.681,90,top
R261,273.904,162.964,90,top
R262,273.904,159.408,90,top
R263,228.2,179.269,90,top
R264,282.9,164,90,top
R265,181.818,174.429,90,top
R266,181.38,155.74,90,top
R267,180.872,180.751,0,top
R268,180.364,162.09,0,top
R269,184.682,183.037,0,top
R270,183.92,164.376,0,top
R271,188.492,180.751,0,top
R272,187.476,162.09,0,top
R273,191.724,176.842,90,top
R274,191.724,173.54,90,top
R275,191.032,158.28,90,top
R276,191.032,154.978,90,top
R277,200.058,175.996,-90,top
R278,199.958,159.296,-90,top
R281,247.904,123.728,-90,top
R282,269.24,40.67,0,top
RV1,153.276,196,-90,top
RV2,178,196,-90,top
RV3,54.356,198.15,-90,top
RV4,79.276,196,-90,top
RV5,104.776,195.746,-90,top
RV6,8.382,198.15,-90,top
RV7,31.242,198.404,-90,top
RV27,128.776,196,-90,top
TP1,280.198,54.572,0,top
TP2,254.4985,64.8,0,top
TP3,294.298,71.472,0,top
TP4,257.048,217.2,0,top
TP5,256.998,54.672,0,top
TP6,233.172,106.71,0,top
TP7,270.865,133.672,0,top
TP8,232.41,127.792,0,top
TP9,271.018,22.89,0,top
TP10,289.814,136.428,0,top
TP11,225,149.403,0,top
TP12,227.33,214.66,0,top
TP13,224.79,163.098,0,top
TP14,52.578,72.928,0,top
TP15,227.198,208.559,0,top
TP16,224.79,158.272,0,top
TP17,238.252,86.136,0,top
TP18,76.2,167.162,0,top
TP19,291.5,176.5,0,top
TP20,216.154,26.954,0,top
TP21,195.326,145.064,0,top
TP22,280.162,219.232,0,top
TP23,256.032,201.452,0,top
TP24,295.402,33.812,0,top
TP25,291.846,196.372,0,top
TP26,255.016,185.958,0,top
TP27,291.592,184.688,0,top
TP28,291.846,145.064,0,top
TP29,291.846,163.606,0,top
TP30,202.946,183.418,0,top
TP31,260.858,60.228,0,top
TP32,294.64,15.27,0,top
TP37,43.383,182.101998,0,top
TP38,67.056,176.306,0,top
TP39,67.056,158.78,0,top
TP40,43.383,165.083998,0,top
TP41,66.98,141.518,0,top
TP42,43.129,147.811998,0,top
TP46,100.198,144.672,0,top
TP59,69.088,137.19,0,top
TP60,70.358,115.092,0,top
TP61,66.294,119.156,0,top
TP62,66.548,98.074,0,top
TP63,71.882,94.264,0,top
TP64,66.548,77.246,0,top
TP68,91.44,133.372,0,top
TP81,225,140.403,0,top
TP84,91.198,60.972,0,top
TP85,101.854,50.672,0,top
TP92,114.554,43.464,0,top
TP93,130.81,43.467001,0,top
TP94,135.126,198.912,0,top
TP95,135.126,192.816,0,top
TP96,159.88,199.42,0,top
TP97,159.88,193.324,0,top
TP98,184.858,199.928,0,top
TP99,184.858,193.714,0,top
TP103,159.198,144.572,0,top
TP107,196.342,43.464,0,top
TP108,60.706,200.944,0,top
TP109,60.706,195.356,0,top
TP110,85.598,199.928,0,top
TP111,85.852,192.308,0,top
TP112,111.126,198.912,0,top
TP113,111.126,192.562,0,top
TP117,125.73,144.572,0,top
TP118,14.986,201.706,0,top
TP119,14.986,194.848,0,top
TP120,37.846,201.198,0,top
TP121,37.846,195.102,0,top
TP124,110.598,144.672,0,top
TP125,92.964,113.06,0,top
TP126,136.652,144.556,0,top
