Designator;Val;Package;Mid X;Mid Y;Rotation;Layer
FID3;Fiducial;Fiducial_0.5mm_Mask1.5mm;8.5;208.3;0;top
J1;14 AWG;PHOENIX_1755736;286.979;87.136;-90;top
J2;Jumper;PinHeader_1x03_P2.54mm_Vertical;257.287;69.626;-90;top
J3;14 AWG;PHOENIX_1755736;286.7155;67.832;-90;top
J4;2POS;CON_39281023;284.822001;23.144;90;top
J5;Jumper;PinHeader_1x03_P2.54mm_Vertical;281.025;133;-90;top
J6;Jumper;PinHeader_1x03_P2.54mm_Vertical;236.728;124.998;90;top
J7;Jumper 5,2A;PinHeader_1x03_P2.54mm_Vertical;255.1505;26.192;0;top
J8;USB-C;MOLEX_1054500101;236.93;2.115;0;top
J9;16POS;SAMTEC_SSW-108-01-G-D;188.503;113.257;0;top
J10;30POS;SAMTEC_SSW-115-01-G-D;165.6445;113.26;0;top
J11;10POS;SAMTEC_SSW-110-01-G-D;197.608;67.532;0;top
J12;34POS;SAMTEC_SSW-117-01-G-D;170.7245;67.532;0;top
J13;3POS;CON_39301039;12.585;180.233997;-90;top
J14;3POS;CON_39301039;12.585;163.215997;-90;top
J15;3POS;CON_39301039;12.585;146.197997;-90;top
J16;39281083;MOLEX_0039281083;9.217;125.311496;-90;top
J17;39281083;MOLEX_0039281083;9.225;104.999996;-90;top
J18;39281083;MOLEX_0039281083;9.269;84.925496;-90;top
J19;3POS;CON_39301039;31.242;180.233997;-90;top
J20;3POS;CON_39301039;31.242;163.215997;-90;top
J21;3POS;CON_39301039;31.213;145.943999;-90;top
J22;3POS;CON_39301039;32.339;117.843997;-90;top
J23;3POS;CON_39301039;32.339;100.799999;-90;top
J24;3POS;CON_39301039;32.291;83.843997;-90;top
J25;2POS;CON_39281023;12.516999;63.405998;-90;top
J26;2POS;CON_39281023;34.492;63.152;-90;top
J27;2POS;CON_39281023;12.553;53.753998;-90;top
J28;2POS;CON_39281023;34.544;53.5;-90;top
J29;2POS;CON_39281023;12.553;44.101998;-90;top
J30;2POS;CON_39281023;34.544;43.848;-90;top
J31;2POS;CON_39281023;12.605;34.449998;-90;top
J32;2POS;CON_39281023;34.544;34.196;-90;top
